Rank,Dealership group name,Phone number,Email,Address,Country,City
86,Stanley Automotive Enterprises,(214) 219-4040, stanleyautogroup.com,3915 Lemmon Ave,United States,Dallas 
87,Bobby Rahal Automotive Group,(717) 691-5600, bobbyrahal.com,6715 Carlisle Pike,United States,Mechanicsburg
88,Piazza Auto Group,610-630-7911, piazzaautogroup.com,401 S. Schuylkill Ave.,United States,Norristown
89,Ferman Automotive Group,(813) 251-2765, ferman.com,1306 W. Kennedy Blvd.,United States,Tampa
90,Ed Morse Automotive Group,(800) 336-6773, edmorse.com,2850 S. Federal Hwy.,United States,Delray Beach
91,Morgan Auto Group,(813) 936-3125, morganautogroup.com,1101 E. Fletcher Ave.,United States,Tampa
92,Phil Smith Automotive Group,(954) 867-1234, philsmithauto.com,4250 N. Federal Hwy.,United States,Lighthouse Point
93,Serra Automotive Group,(205) 836-6775, serraautomotive.com,9709 Pkwy. E.. Ste. D,United States,Birmingham
94,Carl Gregory Enterprises Inc.,(706) 324-2380, carlgregorycars.com,3000 Northlake Pkwy.. Bldg. 300,United States,Columbus
95,Huffines Auto Dealerships,(972) 867-6000, huffines.net,4500 W. Plano Pkwy.,United States,Plano
96,Allen Samuels Enterprises Inc.,(254) 761-6800, allensamuels.com,301 Owen Lane,United States,Waco
97,Sullivan Automotive Group,(310) 829-1888, lacarguy.com,2440 Santa Monica Blvd.,United States,Santa Monica
98,Don Davis Auto Group,(817) 588-5213, dondavisautogroup.com,2350 E. Road to Six Flags,United States,Arlington
99,Carbone Automotive Group,(315) 724-4216, carbonecars.com,5700 Horatio St.,United States,Utica
100,Jim Hudson Automotive Group,(803) 799-1234, jimhudson.com,310 Greystone Blvd,United States,Columbia
101,Piercey Automotive Group,(714) 896-9777, pierceyautogroup.com,13600 Beach Blvd.,United States,Westminster
102,Grossinger Auto Groupÿ,(847) 674-9000, grossinger.com,6900 N McCormick Blvd.,United States,Lincolnwood
103,New Country Motor Car Group,(518) 584-7700, newcountry.com,358 Broadway,United States,Saratoga Springs
104,Galpin Motors Inc.,(818) 787-3800, galpin.com,15505 Roscoe Blvd.,United States,North Hills
105,Tameron Automotive Group,(205) 443-7700, tameron.com,1675 Montgomery Hwy.,United States,Birmingham
106,Holler Automotive Group,(407) 645-1331, hollerclassic.com,P.O. Box 1720,United States,Winter Park
107,Continental Motors Group,(708) 352-6000, continentalmotors.com,5901 S. Lagrange Road,United States,Countryside
108,Gettel Automotive,(941) 921-2655, getteltoyota.com,5959 E. SR 64,United States,Bradenton
109,Crain Automotive Team,(501) 542-5000, crainteam.com,5980 Wadley Road,United States,Sherwood
110,Colonial Automotive Group,(781) 431-9790, buycolonial.com,171 Great Road,United States,Acton
111,AutoFair Automotive Group,603-634-1000, autofair.com,1477 South Willow St.,United States,Manchester
112,Marubeni Motor Service Dealer Group,(781) 278-1407, gallerygroup.com,918 Providence Hwy.. Rte. 1,United States,Norwood
113,Ray Catena Motor Car Corp.,(732) 549-6600, raycatena.com,910 Route One,United States,Edison
114,#1 Cochran Automotive,(877) 262-4726, cochran.com,4520 William Penn Hwy.,United States,Monroeville
115,Southwest Dealer Group,(972) 283-9797, southwestdealergroup.com,39650 LBJ Fwy. S.,United States,Dallas
116,Stewart Management Group Inc.,(313) 432-6200,,20844 Harper Ave.. Ste. 100,United States,Harper Woods
117,Martin Management Group,(270) 783-8080, martingp.com,1065 Ashley St.. Ste. 100,United States,Bowling Green
118,Noarus Auto Group,(310) 258-0920, noarus.com,9670 Trask Ave.,United States,Garden Grove
119,Metro Motor Group,(561) 278-7800, metromotorgroup.com,2001 S. Federal Hwy.,United States,Delray Beach 
120,Chapman Auto Group,(267) 960-1700, chapmanautogroup.com,1170 Easton Road,United States,Horsham
121,Kelly Automotive Group,(610) 967-1823, kellycar.com,544 State Road,United States,Emmaus
122,Richardson & Partners,505-292-0000, rich-ford.com,8601 Lomas Blvd. N.E.,United States,Albuquerque
123,Voss Auto Network,(937) 428-2400, vossauto.com,766 Miamisburg-Centerville Road,United States,Centerville
124,Elder Automotive Groupÿ,(248) 597-5130, elderautomotivegroup.com,777 John R Road,United States,Troy
125,Dave Smith Auto Group,(208) 784-1208, usautosales.com,210 N. Division,United States,Kellogg
