Order_code,Cost,minPrice,maxPrice,avgPrice,sdPrice,Start_dt,end_dt
v55632m,5506,250,5900,1237.2778,1025.426676,1/26/1951,3/24/2021
n94877f,489,150,3650,978.641,774.0421869,3/14/1954,10/26/2023
v46786u,1523,333,3800,1256.0465,738.2005133,9/4/2005,9/11/2028
p63762g,12306,120,23500,1153.7742,2147.692456,1/2/1996,6/25/2020
u77913i,14736,110,14999,943.5837,996.1304736,3/25/1992,10/13/2029
w40241s,874,150,3499,1063.8696,882.8880132,12/15/1930,8/12/2027
l43624a,333,249,5500,1562.3929,1078.656616,1/17/1927,11/10/2021
x92420s,1922,300,3490,1478.6364,764.869639,5/2/1905,10/21/2029
f70993y,3660,200,4900,1192.5532,861.467805,9/9/2015,4/11/2029
s87288k,16266,110,26500,1258.4636,1422.322458,10/18/1914,4/18/2028
q86591x,230,150,2000,999.8125,524.0946025,4/26/1902,4/24/2029
t10869j,6670,300,8000,2723.6667,2439.55605,12/20/2001,9/27/2030
n59338c,3305,1999,8699,3633,1888.503287,5/5/2004,10/20/2021
u51578j,1786,888,6000,2555.9167,1421.804924,2/6/1961,1/1/2030
p98192j,528,300,5900,2348.2308,1833.329512,7/17/1969,10/21/2018
y41943e,3486,200,6990,2049.8077,1910.772015,1/8/2000,1/2/2030
b72647v,16498,120,16800,1480.7006,1427.356572,12/17/1973,4/20/2018
h41014i,6357,500,20000,2579.95,3194.047682,9/11/1903,3/28/2025
e83830k,8878,140,25000,1829.088,2247.50909,9/15/1933,6/22/2020
t91677m,4471,550,5100,2158.5909,1175.352777,2/6/2011,3/28/2022
v72853x,10702,190,16900,1896.3577,1666.686131,2/4/1917,5/7/2018
m24139v,4228,150,6000,1782.7518,1085.437315,2/14/1967,9/9/2022
o49878i,3414,799,14900,5149.7273,3650.971255,5/9/1937,5/5/2023
m30338l,16844,450,16999,2978.248,2258.1715,1/1/1921,10/2/2030
c61889p,13188,250,22800,3762.7188,4254.602385,5/26/2011,7/2/2018
d29275i,15749,650,26600,5717.4516,5089.104604,7/23/1910,10/18/2028
u20058e,70158,400,79950,7363.4063,14516.15017,6/2/1956,4/7/2027
j78910s,27052,900,53500,5426.8182,10689.22413,4/23/2007,1/1/2020
o21512u,6852,2500,16999,8644.1053,4109.667945,10/11/1908,9/8/2025
n76446r,2351,250,6500,1130.75,1434.553132,5/27/1931,1/27/2018
j94143n,1003,150,1250,722.4,348.3867678,7/6/1973,10/10/2019
w22435y,221,150,4900,710.5714,642.6787371,8/20/2015,12/28/2019
y18626o,262,110,1490,558.8187,289.1168179,7/15/1974,6/5/2023
b13687l,462,150,950,501.6818,221.3122817,12/28/1944,10/3/2028
z13782b,1638,200,2300,1061.8182,571.375027,3/14/1991,7/12/2030
r89630i,6707,150,7777,1425.8125,1476.186058,5/24/2002,12/24/2027
c21039x,5926,199,6799,1148.1774,952.2380348,5/16/1973,11/6/2030
l93825e,337,120,2650,835.0667,525.1826307,12/18/1962,3/25/2028
t85870j,1376,150,3000,844.7677,478.4722072,5/20/1977,2/25/2028
p90385o,12206,108,12500,878.4862,1000.130982,8/19/1934,7/12/2025
o13334r,15924,110,18000,675.7177,600.9544201,10/2/1953,5/22/2028
u67345f,1380,120,2880,795.2692,695.6712618,5/14/1924,11/24/2018
q17637r,729,150,3600,1474.2381,923.3702196,5/18/1988,10/7/2021
y69989v,4509,240,6500,1331.6667,1188.23846,8/25/1908,4/5/2026
l26471e,443,350,3900,1328.7895,804.0605881,4/16/2003,3/6/2030
x51371u,1473,200,2300,1037.1667,467.9525439,9/12/1916,4/21/2028
n77440k,1192,199,2200,1008.8548,548.753157,11/23/1959,5/21/2023
k91511w,2829,120,3680,935.5202,614.044571,1/13/2004,12/13/2020
f97218q,8539,125,14850,846.4847,820.9435907,5/15/2008,3/6/2018
q93970b,260,170,3950,987,707.441252,7/27/1978,10/3/2026
q33642q,1569,250,3666,1165.3333,794.8732953,3/19/1968,2/24/2023
w34739v,4083,200,4900,1356.5556,910.6329741,11/24/1982,2/23/2027
i79360w,1838,220,8500,1776.25,1912.837704,1/26/1931,3/18/2029
e30722k,6489,200,8900,1465.4173,1088.690296,6/2/1927,1/5/2027
x21960f,68107,110,84911,1236.5004,2108.482206,10/19/1920,9/13/2020
t26646l,1414,300,3900,1372.5455,823.689633,9/12/1914,4/22/2027
t58574v,964,400,9900,2096.5,2226.580237,3/19/1933,11/4/2021
s97181w,227,150,7450,1988.75,1681.167563,2/12/1974,2/12/2024
j11259t,3616,150,6950,2079.0353,1587.579448,12/8/1933,3/6/2019
a24238r,9300,120,13980,1384.2636,1150.13699,12/4/1919,2/7/2019
k27345n,5237,500,6799,2355.2308,1596.533415,8/10/1959,5/23/2019
q60517d,12499,150,22900,3660.7609,4672.410765,11/11/1922,4/17/2022
f84055h,8565,105,18900,1686.0496,1861.51211,7/1/2007,7/11/2030
c22255h,753,200,27500,4922.1364,5451.651812,2/13/1964,5/24/2025
m42873r,14218,200,16500,1792.5789,1314.264987,6/7/1911,2/21/2021
q87370k,10798,200,23000,2192.0558,2274.023092,8/24/1934,11/27/2027
o31213w,3658,700,16999,5854.8333,3192.863439,4/5/2014,5/3/2030
d62238i,5711,199,14500,2951.2403,2238.759128,12/26/1929,6/21/2026
f95038b,7962,399,31500,3364.2308,4817.497438,7/24/2004,5/20/2022
h67047c,19322,200,31000,4549.3243,4584.857975,7/23/1971,4/5/2030
s98575c,11077,1800,13500,6677,3114.570757,6/25/1963,8/6/2024
m74929y,5691,550,64900,7162.9265,13743.6771,5/24/2004,1/12/2029
j31089t,7886,800,8400,3099.7857,1877.601098,11/23/1942,7/7/2022
i53115q,7404,1500,13800,7761.3846,4505.738368,1/15/1990,2/13/2025
e18873r,1106,149,1500,857.5,336.434945,4/17/2002,4/5/2021
l27423d,199,180,1650,691.7813,285.3962962,1/8/1930,4/17/2023
w45096u,848,125,1600,588.9,340.3716123,3/8/1982,5/7/2028
j21122s,2230,175,2250,712.1379,417.9323262,2/13/1948,10/20/2030
j52949k,1707,150,5350,1339.4545,1065.004,11/17/2000,1/5/2021
w26426f,5256,120,9950,1400.2903,1644.266955,1/7/1999,9/9/2030
s88582e,4510,375,7777,1711.1389,1619.980438,7/16/1935,9/10/2019
q15776o,353,120,4999,1068.1282,891.5515338,5/12/1938,9/9/2018
f33311w,3470,150,15900,1686.7529,3151.001943,8/16/1937,3/28/2021
x86745n,2605,120,11900,1058.2917,1178.609756,5/22/1922,11/13/2019
u74295d,4763,120,8900,885.6448,682.5724362,2/1/1969,12/13/2018
x32229m,9151,110,13000,795.8226,642.7994574,2/17/2006,8/27/2030
h83592y,1666,200,2500,911.871,505.9395439,11/26/1947,11/25/2020
o46957o,2350,450,4750,1308.2222,1040.338757,9/6/1946,2/21/2020
m86326t,1772,500,3500,1958.0588,1044.047524,12/6/2016,11/9/2020
z28497a,312,120,2990,1262.2381,655.669698,11/27/1970,12/22/2026
a74132w,4321,150,5000,1611,1129.718254,9/13/2002,7/17/2023
q93848t,3580,450,5990,1709.4565,1052.287791,9/21/1973,3/11/2029
i73272h,6191,500,11500,1501.0779,1365.577969,8/28/1926,10/22/2030
v61593t,3367,200,15699,1316.0099,1206.576376,11/23/1981,6/7/2028
c45677e,4969,115,8500,1104.5868,664.8866652,1/3/1948,2/14/2024
n94685c,1068,180,3650,1238.7931,741.6236326,7/14/1974,3/22/2020
r41741g,5941,200,6500,2500.15,1344.724257,12/20/1964,6/13/2029
v45648u,2512,200,3975,1987.84,1108.041865,12/8/1996,1/21/2024
f76131z,2465,111,7777,1620.3846,1589.603621,1/3/1949,8/11/2023
b99433f,2059,169,4950,1620.6364,1066.688683,8/18/1917,1/28/2020
q92859o,2247,180,8500,1674.8906,1061.857342,5/18/1912,8/21/2019
t29376r,10169,111,16000,1428.1407,1297.989084,10/14/1968,3/17/2022
e63597i,3856,130,9500,1712.7619,1931.223173,2/19/1905,10/15/2022
t30574v,698,300,7200,2971.7407,1869.07029,7/17/2001,2/20/2023
m28132r,2231,500,17700,4082.1034,4687.531549,2/7/1943,4/15/2027
y95028q,3074,300,8900,2308.5172,1657.938055,9/16/1924,9/6/2019
m48797r,16753,150,19900,2424.2571,2396.956964,1/23/1910,4/24/2019
o20058k,15924,120,19500,1564.7363,1360.565943,3/4/2001,8/12/2020
w99925t,3706,700,7530,2538.3077,1724.040977,10/4/1926,1/12/2027
p80641k,4397,300,6800,3529.9474,1929.991286,6/13/1959,4/12/2028
y93297g,16334,400,27500,3238.1077,3526.599422,4/16/2006,2/25/2018
c49711k,3409,150,15000,1622.0305,1458.097092,6/9/1919,8/17/2030
p61931x,7447,800,7555,3133.0625,1519.228565,12/8/2000,3/3/2029
y73064x,7051,150,8700,1997.0146,1167.767173,7/10/1924,10/27/2024
w46576a,3405,950,6990,3239.4286,2066.518295,8/11/1905,10/17/2025
q28495o,10112,175,22900,2166.5673,1940.254097,11/10/1925,11/13/2020
p54788i,5366,1800,20700,8127.25,5043.893413,8/27/1909,10/24/2029
y43696n,2073,150,11900,2848.7216,1976.327521,10/7/2003,3/23/2024
u70731p,1314,500,17800,3060.4294,2232.970642,10/6/2016,2/15/2025
m71053g,11850,700,15000,4506.9595,2637.181724,8/25/1948,12/3/2021
g15171l,9091,1300,13000,5057.8095,2234.914777,9/20/1997,2/9/2026
m72844t,662,500,14999,4918.7564,3033.601347,3/4/2003,8/19/2020
n17386d,8608,400,26000,9180.1154,7921.72142,5/10/1938,7/18/2024
f29649f,24259,2500,33000,10338.1538,8235.948788,10/24/1970,3/26/2020
b15811z,1577,500,1750,1121.5882,323.7264747,11/7/1995,4/2/2020
c10759s,733,150,2000,879.4865,512.7855893,12/22/1918,8/17/2019
p62628a,957,120,2200,738.1196,417.5359225,3/4/1961,2/4/2026
p16282m,367,149,1450,670.7273,417.8454312,10/9/1960,1/1/2022
k46148b,1095,250,1999,911.8333,535.4607829,8/27/1922,1/2/2024
t47625q,2234,300,3200,1427.8182,1020.161914,1/8/1928,6/19/2024
a54419k,2243,500,2990,1940.75,734.1647323,6/10/2007,3/17/2027
s62792x,2125,250,4950,1713.7222,1079.138381,3/11/1922,5/7/2026
p52756d,11525,450,15500,1780.0541,2427.214552,5/9/1965,7/14/2030
o28627r,2420,350,2950,1140.9153,587.1861452,1/21/1986,12/12/2030
s63984l,1217,150,2350,1146.1528,483.6369925,10/21/1969,3/21/2028
q62299x,2315,130,5899,1273.36,856.3233539,4/12/1919,11/4/2029
g72669p,712,149,2500,1076.1571,515.8042302,4/11/1912,3/15/2026
v69897e,1614,135,6500,975.3481,565.39182,4/3/1974,8/4/2027
w28859m,4120,101,6500,856.6822,478.0925464,7/8/1981,11/22/2020
i12241p,867,200,1600,1004.7917,361.054818,7/28/1998,9/24/2019
p97922u,1425,500,1599,844.1818,297.8760628,6/26/1946,11/2/2028
x21622v,2861,500,2990,1727.0833,750.2390128,11/4/2005,5/8/2022
w48774u,2015,250,3600,1589.5385,954.5126921,7/17/1955,9/17/2020
u54838w,3151,300,3690,1876,825.9468556,7/7/1972,1/15/2018
n29568v,2765,350,3500,1717.9583,753.6486239,4/26/1935,1/10/2020
o89794a,1189,200,3500,1614.6216,641.144747,1/28/1920,10/23/2018
u50935z,11125,200,11500,1400.4851,892.9910726,11/15/1911,6/24/2021
n73732s,6362,110,15000,1213.3962,850.1451927,4/20/1909,3/9/2026
u48527l,1596,200,5699,1339.6,989.8291397,3/5/2005,10/18/2030
x82090l,1216,990,5200,2623.1667,1239.245794,5/21/1909,6/20/2028
o52997t,1047,499,3999,1860.5385,990.2703295,2/12/1920,7/25/2028
e24467f,2278,500,4500,1873.4,857.4412166,5/15/1947,9/22/2028
q93721g,657,350,4450,2037.8621,1181.70872,6/18/1965,7/22/2018
v34972w,1479,325,5599,2020.1607,1197.049196,4/6/1942,2/19/2024
u52518r,9828,180,10999,1834.3542,1305.825593,10/1/2011,2/12/2030
g70571a,11923,125,19200,1526.7215,1364.964812,9/18/1908,11/16/2023
z89326g,2048,250,2777,1447.5806,688.0863962,5/20/1930,8/5/2026
g55926m,4000,333,9000,3350.4706,1947.189381,3/20/1955,1/8/2024
r21131x,4023,950,9499,4117.625,1964.852694,9/15/1957,6/17/2022
r64460b,6172,700,8350,3456.6875,2048.973637,3/25/1946,4/3/2019
b48061d,5627,300,8850,2817.8814,1468.963316,7/14/1930,1/21/2022
r32545y,12229,250,14980,2364.8683,1722.157262,7/21/1941,4/22/2029
v28428s,17835,125,21500,1658.3316,1254.220093,1/9/1992,10/18/2022
i11186x,4559,380,8500,3620.32,2218.227936,7/22/1992,10/28/2019
j29214m,6146,650,8900,2892.9672,1921.222467,7/17/1992,6/13/2028
v76414f,7235,110,7888,1688.9308,1241.198898,4/20/1906,12/15/2029
r70989r,1051,500,6500,2017.5294,1259.780052,11/9/1900,11/3/2019
o88230y,1421,555,6950,3258.9,1476.661739,11/21/1972,9/21/2027
f45331u,6356,150,15000,2389.344,1807.200923,1/6/1971,8/26/2018
s26929t,2574,400,7500,2495.2727,2038.779853,2/1/1983,2/25/2026
n87485r,7746,1150,8200,4539.8378,1962.884564,10/12/1904,3/23/2027
l79950s,11008,150,24900,2569.8074,1734.79515,3/27/1906,1/5/2020
g12684p,6094,2500,13900,6340.5625,3640.28481,3/23/1948,12/4/2028
p39645e,5615,500,15500,6556.6522,3125.043306,1/23/1976,11/15/2021
f51637x,32794,230,68530,3400.7294,3394.309274,10/5/1911,1/22/2026
d29396b,12410,3349,13500,7833.5625,3028.756757,4/11/2017,11/3/2019
h72031c,7936,325,17900,4256.3745,2740.230813,12/16/1974,4/21/2020
v51117h,5444,600,12500,3083.9375,1739.293588,10/27/1984,11/11/2028
i99794f,7771,550,19999,5460.1395,3485.93119,5/7/1902,6/7/2029
h79216e,11653,555,12900,4004.3426,2286.221641,5/8/1963,7/3/2024
d29121w,23733,1500,44500,7851.6882,6893.751072,4/26/1901,8/11/2023
q73945t,17379,1800,24900,6074.3333,5133.008756,11/7/1973,3/27/2019
q50472q,17785,2800,18900,7653.5833,4223.999713,2/13/1901,1/22/2025
u66691b,1226,140,2000,1125.8235,666.8920219,8/15/1983,4/11/2030
i80154c,1736,150,3000,1256.9744,615.0738328,4/10/1963,7/22/2024
o25944c,720,150,2599,923.6887,589.6734778,2/19/1978,10/20/2020
n78145w,2760,150,3495,840.3438,630.8121555,7/18/1951,10/28/2021
s84137n,1417,150,3999,1046.4444,942.6158376,9/10/1911,8/18/2029
p49556n,1651,300,2300,1146.2857,578.6257646,4/6/1965,12/8/2019
l14298q,11756,250,13950,3970,4982.007627,7/23/1959,8/22/2027
r96091b,2844,200,3900,1583.9286,749.0164946,11/16/1919,9/6/2028
o80226n,6144,250,13800,2437.1463,2953.245148,6/7/1981,3/10/2027
g42313s,2665,180,3100,1406.5556,757.5721129,7/20/1958,12/6/2024
j92644a,3751,120,4500,1386.6514,755.360141,9/23/1964,6/23/2027
k92694l,3544,115,11350,1345.9048,1155.199101,12/23/1959,11/24/2023
i19518v,1422,120,3500,1276.7978,668.8979335,2/7/1974,11/19/2023
w60899k,4758,125,7990,1183.7134,678.2070582,4/12/1941,1/4/2030
s56651p,3409,120,7750,966.208,557.2072672,2/19/1912,9/1/2025
w29666q,974,120,2200,906.72,642.0458875,4/17/1909,6/7/2018
k44586p,1668,550,2500,1251.2727,626.1649639,2/27/2015,3/19/2022
h57338a,2806,799,3100,2064.9167,697.915403,9/20/1900,11/11/2019
